supplier,sku,group,prob,source
SE,300200917_,Розетки и выключатели,1.0,rules
SE,300200918_,Розетки и выключатели,1.0,rules
SE,300200919_,Розетки и выключатели,1.0,rules
SE,300200920_,Розетки и выключатели,1.0,rules
SE,300200921_,Розетки и выключатели,1.0,rules
SE,300200922_,Розетки и выключатели,1.0,rules
SE,300200923_,Розетки и выключатели,1.0,rules
SE,300200924_,Розетки и выключатели,1.0,rules
SE,300200925_,Розетки и выключатели,1.0,rules
SE,300200926_,Розетки и выключатели,1.0,rules
SE,300200927_,Розетки и выключатели,1.0,rules
SE,300200928_,"Кабель, провод, СКС",1.0,rules
SE,300200929_,Розетки и выключатели,1.0,rules
SE,300200930_,Розетки и выключатели,1.0,rules
SE,300200931_,"Трубы, кабель-каналы, лотки",1.0,rules
SE,300200932_,Розетки и выключатели,1.0,rules
SE,300200933_,Розетки и выключатели,1.0,rules
SE,300200934_,Розетки и выключатели,1.0,rules
SE,300200935_,Розетки и выключатели,1.0,rules
SE,300200936_,Розетки и выключатели,1.0,rules
SE,300200937_,Розетки и выключатели,1.0,rules
SE,300200938_,Розетки и выключатели,1.0,rules
SE,300200939_,Розетки и выключатели,1.0,rules
SE,300200940_,Розетки и выключатели,1.0,rules
SE,300200941_,Розетки и выключатели,1.0,rules
SE,300200942_,Розетки и выключатели,1.0,rules
SE,300200943_,Розетки и выключатели,1.0,rules
SE,300200944_,Розетки и выключатели,1.0,rules
SE,300200945_,Розетки и выключатели,1.0,rules
SE,300200946_,Розетки и выключатели,1.0,rules
SE,300200947_,Розетки и выключатели,1.0,rules
SE,300200948_,Розетки и выключатели,1.0,rules
SE,300200949_,Розетки и выключатели,1.0,rules
SE,300200950_,Розетки и выключатели,1.0,rules
SE,300200951_,"Трубы, кабель-каналы, лотки",1.0,rules
SE,300200952_,Розетки и выключатели,1.0,rules
SE,300200953_,"Кабель, провод, СКС",1.0,rules
SE,300200954_,Розетки и выключатели,1.0,rules
SE,300200955_,Розетки и выключатели,1.0,rules
SE,300200956_,"Трубы, кабель-каналы, лотки",1.0,rules
SE,300200959_,Розетки и выключатели,1.0,rules
SE,300200961_,"Контакторы, пускатели, управление",1.0,rules
SE,300200962_,"Контакторы, пускатели, управление",1.0,rules
SE,300200963_,"Контакторы, пускатели, управление",1.0,rules
SE,300200964_,"Кабель, провод, СКС",1.0,rules
SE,300200965_,"Кабель, провод, СКС",1.0,rules
SE,300200966_,Розетки и выключатели,1.0,rules
SE,300200967_,Розетки и выключатели,1.0,rules
SE,300200968_,Розетки и выключатели,1.0,rules
SE,300201148_,Розетки и выключатели,1.0,rules
SE,300201149_,Розетки и выключатели,1.0,rules
SE,300201150_,Розетки и выключатели,1.0,rules
SE,300201151_,Розетки и выключатели,1.0,rules
SE,300201152_,Розетки и выключатели,1.0,rules
SE,300201153_,Розетки и выключатели,1.0,rules
SE,300201154_,Розетки и выключатели,1.0,rules
SE,300201155_,Розетки и выключатели,1.0,rules
SE,ATN000108,Розетки и выключатели,1.0,rules
SE,ATN000109,Розетки и выключатели,1.0,rules
SE,ATN000139,Розетки и выключатели,1.0,rules
SE,ATN000330,Розетки и выключатели,1.0,rules
SE,ATN000389,Розетки и выключатели,1.0,rules
SE,ATN000393,Прочее,0.29,laya_low_confidence
SE,ATN000399,"Кабель, провод, СКС",1.0,rules
SE,ATN000439,Розетки и выключатели,1.0,rules
SE,ATN000446,Розетки и выключатели,1.0,rules
SE,ATN000449,Розетки и выключатели,1.0,rules
SE,ATN000487,Розетки и выключатели,1.0,rules
SE,ATN000493,Прочее,0.314,laya_low_confidence
SE,ATN000499,"Кабель, провод, СКС",1.0,rules
SE,ATN000532,Розетки и выключатели,1.0,rules
SE,ATN000539,Розетки и выключатели,1.0,rules
SE,ATN000724,Розетки и выключатели,1.0,rules
SE,ATN001105,Розетки и выключатели,1.0,rules
SE,ATN001130,Розетки и выключатели,1.0,rules
SE,ATN001132,Розетки и выключатели,1.0,rules
SE,ATN001133,Розетки и выключатели,1.0,rules
SE,ATN001209,Прочее,0.47,laya_low_confidence
SE,ATN001230,Розетки и выключатели,1.0,rules
SE,ATN001232,Розетки и выключатели,1.0,rules
SE,ATN001233,Розетки и выключатели,1.0,rules
SE,ATN001239,Розетки и выключатели,1.0,rules
SE,ATN001302,Розетки и выключатели,1.0,rules
SE,ATN001420,Розетки и выключатели,1.0,rules
SE,ATN200101,Розетки и выключатели,1.0,rules
SE,ATN200102,Розетки и выключатели,1.0,rules
SE,ATN200111,Розетки и выключатели,1.0,rules
